Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time
Paul Redmond,Loss,3–2,Kuat Khamitov,Submission (leg triangle),Bushido Lithuania vol. 47,"November 5, 2011",1,N/A
Paul Redmond,Win,3–1,Phillip Mulpeter,TKO (punches),Chaos Fighting Championships 9,"September 3, 2011",2,2:12
Paul Redmond,Win,2–1,Ian Williams,TKO (punches),Xtreme Fighting Championships 1,"August 20, 2011",2,N/A
Paul Redmond,Win,1–1,Jonathan Falvre,TKO (punches),Clan Wars 7,"May 28, 2011",2,N/A
Paul Redmond,Loss,0–1,Richard McCarty,Submission (anaconda choke),HT- Fight Night 5,"April 10, 2010",1,N/A
Marcus Brimage,Loss,7–7,Leonardo Morales,Decision (unanimous),Viva Nicaragua Canal 13: MMA War,"June 25, 2016",3,5:00
Marcus Brimage,Loss,7–6,Soo Chul Kim,Decision (unanimous),Road FC 029,"March 12, 2016",3,5:00
Marcus Brimage,Loss,7–5,Jimmie Rivera,KO (punches),UFC Fight Night: Bisping vs. Leites,"July 18, 2015",1,1:29
Marcus Brimage,Loss,7–4,Cody Garbrandt,TKO (punches),UFC 182,"January 3, 2015",3,4:50
Marcus Brimage,Win,7–3,Jumabieke Tuerxun,KO (head kick),UFC Fight Night: Rockhold vs. Bisping,"November 8, 2014",1,2:58
Marcus Brimage,Loss,6–3,Russell Doane,Decision (split),UFC 175,"July 5, 2014",3,5:00
Marcus Brimage,Loss,6–2,Conor McGregor,TKO (punches),UFC on Fuel TV: Mousasi vs. Latifi,"April 6, 2013",1,1:07
Marcus Brimage,Win,6–1,Jimy Hettes,Decision (unanimous),UFC 152,"September 22, 2012",3,5:00
Marcus Brimage,Win,5–1,Maximo Blanco,Decision (split),UFC 145,"April 21, 2012",3,5:00
Marcus Brimage,Win,4–1,Stephen Bass,Decision (unanimous),The Ultimate Fighter 14 Finale,"December 3, 2011",3,5:00
Marcus Brimage,Win,3–1,Kyle Bradley,TKO (punches),USA MMA 13,"July 31, 2010",1,3:01
Marcus Brimage,Loss,2–1,Joey Camacho,Submission (choke),Iron Ring,"February 18, 2008",1,1:27
Marcus Brimage,Win,2–0,Bryan Goldsby,TKO (punches),Xtreme Freestyle Fighting 7,"January 19, 2008",2,1:07
Marcus Brimage,Win,1–0,Jason Kwast,Decision (unanimous),Georgia FC 2,"March 17, 2007",3,5:00
Todd Duffee,Loss,9–3,Frank Mir,KO (punch),UFC Fight Night: Mir vs. Duffee,"July 15, 2015",1,1:13
Todd Duffee,Win,9–2,Anthony Hamilton,KO (punch),UFC 181,"December 6, 2014",1,0:33
Todd Duffee,Win,8–2,Philip De Fries,TKO (punches),UFC 155,"December 29, 2012",1,2:04
Todd Duffee,Win,7–2,Neil Grove,TKO (punches),SFL 2,"April 7, 2012",1,0:34
Todd Duffee,Loss,6–2,Alistair Overeem,KO (punches),Dynamite!! 2010,"December 31, 2010",1,0:19
Todd Duffee,Loss,6–1,Mike Russow,KO (punch),UFC 114,"May 29, 2010",3,2:33
Todd Duffee,Win,6–0,Tim Hague,KO (punches),UFC 102,"August 29, 2009",1,0:07
Todd Duffee,Win,5–0,Assuério Silva,TKO (punches),Jungle Fight 11,"September 13, 2008",2,1:17
Todd Duffee,Win,4–0,Josh Bennett,KO (punches),Alianza National Full Contact 2,"August 8, 2008",1,1:25
Todd Duffee,Win,3–0,Mark Honneger,TKO (punches),Crazy Horse Fights,"December 11, 2007",1,3:22
Todd Duffee,Win,2–0,Mike Walbright,TKO (punches),Beatdown Fight Party: Head On Collision,"June 1, 2007",1,0:16
Todd Duffee,Win,1–0,Jonathan Spears,TKO (punches),Beatdown Fight Party: Invasion,"February 9, 2007",1,0:15
Josh Thomson,Loss,22–9 (1),Patricky Freire,KO (punch),Bellator 172,"February 18, 2017",2,0:40
Josh Thomson,Win,22–8 (1),Pablo Villaseca,TKO (punches),Bellator 147,"December 4, 2015",2,3:59
Josh Thomson,Win,21–8 (1),Mike Bronzoulis,Submission (arm-triangle choke),Bellator 142: Dynamite 1,"September 19, 2015",3,0:39
Josh Thomson,Loss,20–8 (1),Tony Ferguson,Decision (unanimous),UFC Fight Night: Mir vs. Duffee,"July 15, 2015",3,5:00
Josh Thomson,Loss,20–7 (1),Bobby Green,Decision (split),UFC on Fox: Lawler vs. Brown,"July 26, 2014",3,5:00
Josh Thomson,Loss,20–6 (1),Benson Henderson,Decision (split),UFC on Fox: Henderson vs. Thomson,"January 25, 2014",5,5:00
Josh Thomson,Win,20–5 (1),Nate Diaz,TKO (head kick and punches),UFC on Fox: Henderson vs. Melendez,"April 20, 2013",2,3:44
Josh Thomson,Loss,19–5 (1),Gilbert Melendez,Decision (split),Strikeforce: Barnett vs. Cormier,"May 19, 2012",5,5:00
Josh Thomson,Win,19–4 (1),KJ Noons,Decision (unanimous),Strikeforce: Tate vs. Rousey,"March 3, 2012",3,5:00
Josh Thomson,Loss,18–4 (1),Tatsuya Kawajiri,Decision (unanimous),Dynamite!! 2010,"December 31, 2010",3,5:00
Josh Thomson,Win,18–3 (1),Gesias Cavalcante,Decision (unanimous),Strikeforce: Diaz vs. Noons II,"October 9, 2010",3,5:00
Josh Thomson,Win,17–3 (1),Pat Healy,Submission (rear-naked choke),Strikeforce: Fedor vs. Werdum,"June 26, 2010",3,4:27
Josh Thomson,Loss,16–3 (1),Gilbert Melendez,Decision (unanimous),Strikeforce: Evolution,"December 19, 2009",5,5:00
Josh Thomson,Win,16–2 (1),Ashe Bowman,TKO (punches),Strikeforce: At The Mansion II,"September 20, 2008",1,1:14
Josh Thomson,Win,15–2 (1),Gilbert Melendez,Decision (unanimous),Strikeforce: Melendez vs. Thomson,"June 27, 2008",5,5:00
Josh Thomson,Win,14–2 (1),Adam Lynn,KO (punches),Strikeforce: Playboy Mansion,"September 29, 2007",1,4:45
Josh Thomson,Win,13–2 (1),Nick Gonzalez,Submission (rear-naked choke),Strikeforce: Shamrock vs. Baroni,"June 22, 2007",1,1:42
Josh Thomson,Win,12–2 (1),Nam Phan,Decision (unanimous),Strikeforce: Triple Threat,"December 8, 2006",3,5:00
Josh Thomson,Win,11–2 (1),Duane Ludwig,Submission (guillotine choke),Strikeforce: Tank vs. Buentello,"October 7, 2006",2,4:36
Josh Thomson,Win,10–2 (1),Rocky Johnson,Submission (armbar),Pride and Fury 5,"July 6, 2006",1,1:55
Josh Thomson,Win,9–2 (1),Harris Sarmiento,Submission (arm-triangle choke),Strikeforce: Revenge,"June 9, 2006",3,3:19
Josh Thomson,Loss,8–2 (1),Clay Guida,Decision (unanimous),Strikeforce: Shamrock vs. Gracie,"March 10, 2006",5,5:00
Josh Thomson,Win,8–1 (1),Daisuke Sugie,Submission (kneebar),PRIDE Bushido 8,"July 17, 2005",1,2:35
Josh Thomson,Loss,7–1 (1),Yves Edwards,KO (flying head kick and punches),UFC 49,"August 21, 2004",1,4:32
Josh Thomson,Win,7–0 (1),Hermes França,Decision (unanimous),UFC 46,"January 31, 2004",3,5:00
Josh Thomson,Win,6–0 (1),Gerald Strebendt,KO (punches),UFC 44,"September 26, 2003",1,2:45
Josh Thomson,Win,5–0 (1),Rob McCullough,Decision (unanimous),WFA 3: Level 3,"November 23, 2002",3,5:00
Josh Thomson,Win,4–0 (1),Kajan Johnson,Submission (elbows),SE: North American Sport Fighting Invitational,"September 7, 2002",2,4:56
Josh Thomson,Win,3–0 (1),Doug Evans,Submission (triangle choke),NW Submission Fighting 1,"May 4, 2002",1,1:29
Josh Thomson,NC,2–0 (1),Norifumi Yamamoto,NC (groin kick),Shogun 1,"December 15, 2001",2,2:00
Josh Thomson,Win,2–0,Víctor Estrada,Submission (triangle choke),Gladiators Vale Tudo,"March 10, 2001",2,N/A
Josh Thomson,Win,1–0,Jason Abajian,KO (punches),Bushido 1,"January 18, 2001",1,N/A
Igor Araújo,Loss,25–10 (1),Gerardo Nunez,KO (punches),AFL 14: Outbreak,"March 17, 2018",1,2:43
Igor Araújo,Loss,25–9 (1),Marvin Vettori,Submission (guillotine choke),Venator FC 3,"May 21, 2016",1,1:13
Igor Araújo,Loss,25–8 (1),Sean Strickland,Decision (unanimous),UFC Fight Night: Mir vs. Duffee,"July 15, 2015",3,5:00
Igor Araújo,Loss,25–7 (1),George Sullivan,KO (punches),UFC Fight Night: Bigfoot vs. Arlovski,"September 13, 2014",2,2:31
Igor Araújo,Win,25–6 (1),Danny Mitchell,Decision (unanimous),UFC Fight Night: Gustafsson vs. Manuwa,"March 8, 2014",3,5:00
Igor Araújo,Win,24–6 (1),Ildemar Alcântara,Decision (unanimous),UFC Fight Night: Maia vs. Shields,"October 9, 2013",3,5:00
Igor Araújo,Win,23–6 (1),Nic Herron-Webb,Decision (unanimous),Flawless FC 3: California Love,"May 18, 2013",5,5:00
Igor Araújo,Win,22–6 (1),Uriel Loutina,Submission (arm-triangle choke),WUFC: Memorial 7,"November 15, 2011",2,4:10
Igor Araújo,Win,21–6 (1),Ivica Truscek,Submission (rear-naked choke),Lions FC: Lions Fighting Championship,"October 15, 2011",2,4:44
Igor Araújo,Win,20–6 (1),Vitaliy Ostrovskiy,Submission (rear-naked choke),RF: Real Fight-FC,"March 25, 2011",3,4:12
Igor Araújo,Loss,19–6 (1),Rashid Magomedov,Decision (unanimous),M-1 Challenge 21: Guram vs. Garner,"October 28, 2010",3,5:00
Igor Araújo,Win,19–5 (1),Dejan Milosevic,Submission (armbar),SHC 3: Carmont vs. Zahariev,"September 18, 2010",1,2:50
Igor Araújo,Win,18–5 (1),Raymond Jarman,Decision (unanimous),Yamabushi: Combat Sport Night 6,"May 1, 2010",2,5:00
Igor Araújo,Win,17–5 (1),Vaidas Valancius,Submission (arm-triangle choke),SHC 2: Battle for the Belt,"April 10, 2010",1,0:47
Igor Araújo,Win,16–5 (1),Wilhelm Ott,Submission (arm-triangle choke),VFN: Fabulous Las Vegas,"January 24, 2010",1,1:42
Igor Araújo,Win,15–5 (1),Karim Mammar,Submission (armbar),SHC 1: Angels or Demons,"September 26, 2009",1,4:50
Igor Araújo,Win,14–5 (1),Michele Verginelli,Decision (majority),XC 1: Xtreme MMA Championship,"June 18, 2009",3,5:00
Igor Araújo,Win,13–5 (1),Lopez Owonyebe,KO (knee),Yamabushi: Combat Sport Night 5,"May 2, 2009",1,1:29
Igor Araújo,Win,12–5 (1),Vener Galiev,Submission (armbar),UF: Universal Fighter,"December 12, 2008",1,0:57
Igor Araújo,Loss,11–5 (1),Jim Wallhead,TKO (punches),M-1 Challenge 7: UK,"September 27, 2008",1,1:19
Igor Araújo,Loss,11–4 (1),Vladimir Yushko,Decision (unanimous),FEFoMP: World Pankration Championship 2008,"May 24, 2008",2,5:00
Igor Araújo,Win,11–3 (1),Islam Merzhaev,Submission (armbar),FEFoMP: World Pankration Championship 2008,"May 24, 2008",2,1:26
Igor Araújo,Win,10–3 (1),Sascha Kress,Submission (armbar),FFC: All or Nothing,"September 30, 2007",1,0:42
Igor Araújo,Win,9–3 (1),Apo Gatta Gome,Submission (armbar),Fight Fiesta: Deluxe 2,"September 15, 2007",1,N/A
Igor Araújo,Win,8–3 (1),Bastiaan Rejen,Decision (unanimous),UG 4: 20 Years Anniversary,"September 2, 2007",2,5:00
Igor Araújo,Win,7–3 (1),Marcin Krysztofiak,Submission (triangle choke),FFL: Fight Fiesta de Luxe,"June 2, 2007",2,0:50
Igor Araújo,Win,6–3 (1),Sascha Kress,Submission (armbar),FFC: Big Bad Boyz,"April 29, 2007",1,3:30
Igor Araújo,Win,5–3 (1),Tomas Stone,Submission (choke),Shooto: Switzerland 5,"October 28, 2006",1,N/A
Igor Araújo,Loss,4–3 (1),Krzysztof Kulak,Submission (rear-naked choke),KSW 6: Konfrontacja,"October 14, 2006",2,3:25
Igor Araújo,Loss,4–2 (1),Jean-Francois Lenogue,TKO (punches),WFC: Europe vs. Brazil,"May 20, 2006",3,2:19
Igor Araújo,NC,4–1 (1),Boris Jonstomp,No Contest,CE: Championnat D'Europe,"May 6, 2006",2,5:00
Igor Araújo,Win,4–1,Hans Stringer,Submission (triangle choke),Shooto Holland: Playing With Fire,"April 2, 2006",1,1:27
Igor Araújo,Win,3–1,Santa Rita,Submission (kneebar),Juiz de Fora: Fight 2,"April 16, 2005",1,0:32
Igor Araújo,Loss,2–1,Edgard Castaldelli Filho,Decision (unanimous),GOF: Goiania Open Fight 1,"March 19, 2005",3,5:00
Igor Araújo,Win,2–0,João Takeshita,Submission (kneebar),GOF: Goiania Open Fight 1,"March 19, 2005",1,0:49
Igor Araújo,Win,1–0,Murilo Rosa Filho,Decision (unanimous),CTR: Coliseu Tres Rios,"December 11, 2004",3,5:00
Ildemar Alcântara,Loss,22–13,Magomed Ismailov,TKO (punches),Fight Nights Global 85: Alikhanov vs. Kopylov,"March 30, 2018",1,3:41
Ildemar Alcântara,Win,22–12,Artur Alibulatov,Decision (split),ProFC 64: Tibilov vs. Shvets,"December 24, 2017",3,5:00
Ildemar Alcântara,Loss,21–12,Alexey Efremov,TKO (elbows),World Fighting Championship Akhmat 42,"September 27, 2017",3,0:19
Ildemar Alcântara,Loss,21–11,Beslan Ushukov,Decision (majority),World Fighting Championship Akhmat 38,"May 21, 2017",3,5:00
Ildemar Alcântara,Loss,21–10,Markus Perez Echeimberg,Decision (unanimous),Arzalet Fighting Globe Championship,"February 10, 2017",3,5:00
Ildemar Alcântara,Loss,21–9,Henrique da Silva,TKO (punches),The King of Jungle Championship 2,"January 14, 2016",2,4:55
Ildemar Alcântara,Loss,21–8,Kevin Casey,Decision (unanimous),UFC Fight Night: Mir vs. Duffee,"July 15, 2015",3,5:00
Ildemar Alcântara,Win,21–7,Richardson Moreira,Decision (split),UFC 183,"January 31, 2015",3,5:00
Ildemar Alcântara,Loss,20–7,Kenny Robertson,Decision (unanimous),UFC 175,"July 5, 2014",3,5:00
Ildemar Alcântara,Win,20–6,Albert Tumenov,Decision (split),UFC Fight Night: Machida vs. Mousasi,"February 15, 2014",3,5:00
Ildemar Alcântara,Loss,19–6,Igor Araújo,Decision (unanimous),UFC Fight Night: Maia vs. Shields,"October 9, 2013",3,5:00
Ildemar Alcântara,Win,19–5,Leandro Silva,Decision (unanimous),UFC on Fuel TV: Nogueira vs. Werdum,"June 8, 2013",3,5:00
Ildemar Alcântara,Win,18–5,Wagner Prado,Submission (kneebar),UFC on FX: Belfort vs. Bisping,"January 19, 2013",2,2:39
Ildemar Alcântara,Win,17–5,Itamar Rosa,TKO (punches),Jungle Fight 47: Jungle Belt,"December 21, 2012",1,1:07
Ildemar Alcântara,Win,16–5,Ederson Cristian,Submission (armbar),Jungle Fight 44,"October 27, 2012",1,1:32
Ildemar Alcântara,Win,15–5,Eder Jones,Decision (split),Jungle Fight 41,"July 28, 2012",3,5:00
Ildemar Alcântara,Win,14–5,Edilberto de Oliveira,KO (punches),Jungle Fight 38,"April 28, 2012",1,3:02
Ildemar Alcântara,Win,13–5,Geovane Francisco,TKO (knee and punches),Jungle Fight 35,"December 17, 2011",1,2:14
Ildemar Alcântara,Win,12–5,Willians Santos,TKO (doctor stoppage),Jungle Fight 33,"October 22, 2011",1,2:04
Ildemar Alcântara,Win,11–5,Richard Smith,Submission (rear naked choke),Jungle Fight 30,"July 30, 2011",1,2:39
Ildemar Alcântara,Loss,10–5,Marcelo Guimarães,Decision (unanimous),Jungle Fight 28,"May 21, 2011",3,5:00
Ildemar Alcântara,Win,10–4,Jackson Mora,TKO (punches),Jungle Fight 24,"December 18, 2010",1,4:37
Ildemar Alcântara,Win,9–4,Jacob Quintana,TKO (knee to the body),Jungle Fight 23,"October 30, 2010",1,1:23
Ildemar Alcântara,Win,8–4,Potcho Potcho,TKO (punches),Iron Man Championship 7,"October 7, 2010",2,2:15
Ildemar Alcântara,Win,7–4,Antonio Mendes,Decision (unanimous),Amazon Fight 4,"August 13, 2010",3,5:00
Ildemar Alcântara,Loss,6–4,Bruno Silva,TKO (leg kick),Iron Man Championship 4,"November 20, 2009",2,0:40
Ildemar Alcântara,Win,6–3,Rogério Gama,TKO (punches),Belem Open Fight 2,"September 17, 2009",1,3:11
Ildemar Alcântara,Win,5–3,Beto Silva,KO (punches),Super Fight,"July 23, 2009",2,3:17
Ildemar Alcântara,Loss,4–3,Geronimo dos Santos,TKO (punches),Hiro Belém,"April 21, 2009",2,N/A
Ildemar Alcântara,Win,4–2,Brian Maulany,Submission (armbar),Cage Fight Event: Rumble in the Jungle,"December 21, 2008",1,2:28
Ildemar Alcântara,Win,3–2,Junior Sumo,TKO (punches),Round Fight 2,"September 25, 2008",1,2:20
Ildemar Alcântara,Win,2–2,Maurilio de Souza,Submission (kneebar),Ceará Vale Tudo Meeting,"April 18, 2007",3,2:31
Ildemar Alcântara,Loss,1–2,Fábio Maldonado,Decision (unanimous),Predador FC 4: Kamae,"January 25, 2007",3,5:00
Ildemar Alcântara,Loss,1–1,Luís Santos,Decision (unanimous),Mega Combat Vale Tudo,"October 1, 2005",3,5:00
Ildemar Alcântara,Win,1–0,Luís Santos,Submission (triangle choke),Iron Man Vale Tudo 7,"June 11, 2005",2,4:51
Andrew Craig,Loss,9–4,Lyman Good,KO (punches),UFC Fight Night: Mir vs. Duffee,"July 15, 2015",2,3:37
Andrew Craig,Loss,9–3,Cezar Ferreira,Decision (unanimous),UFC Fight Night: Swanson vs. Stephens,"June 28, 2014",3,5:00
Andrew Craig,Loss,9–2,Luke Barnatt,Submission (rear-naked choke),UFC Fight Night: Machida vs. Munoz,"October 26, 2013",2,2:12
Andrew Craig,Win,9–1,Chris Leben,Decision (split),UFC 162,"July 6, 2013",3,5:00
Andrew Craig,Loss,8–1,Ronny Markes,Decision (unanimous),UFC on FX: Belfort vs. Bisping,"January 19, 2013",3,5:00
Andrew Craig,Win,8–0,Rafael Natal,KO (head kick),UFC on Fuel TV: Munoz vs. Weidman,"July 11, 2012",2,4:52
Andrew Craig,Win,7–0,Kyle Noke,Decision (unanimous),UFC on FX: Alves vs. Kampmann,"March 3, 2012",3,5:00
Andrew Craig,Win,6–0,Eric Schambari,Decision (unanimous),Legacy FC 8,"September 16, 2011",3,5:00
Andrew Craig,Win,5–0,William Bush,TKO (punches),Legacy FC 6,"April 9, 2011",5,2:47
Andrew Craig,Win,4–0,Jon Kirk,Submission (triangle choke),IXFA 5,"February 26, 2011",2,1:04
Andrew Craig,Win,3–0,Josh Foster,Decision (unanimous),IXFA 4,"December 4, 2010",3,3:00
Andrew Craig,Win,2–0,Rodrigo Pinheiro,TKO (doctor stoppage),Bellator 27,"September 2, 2010",3,2:53
Andrew Craig,Win,1–0,Antuan Williams,Decision (unanimous),USA MMA 12,"May 22, 2010",3,5:00
Dan Miller,Loss,14–8 (1),Trevor Smith,Decision (unanimous),The Ultimate Fighter: American Top Team vs. Blackzilians Finale,"July 12, 2015",3,5:00
Dan Miller,Loss,14–7 (1),Jordan Mein,TKO (punches),UFC 158,"March 16, 2013",1,4:42
Dan Miller,Win,14–6 (1),Ricardo Funch,Submission (guillotine choke),UFC on FX: Maynard vs. Guida,"June 22, 2012",3,3:12
Dan Miller,Loss,13–6 (1),Rousimar Palhares,Decision (unanimous),UFC 134,"August 27, 2011",3,5:00
Dan Miller,Loss,13–5 (1),Nate Marquardt,Decision (unanimous),UFC 128,"March 19, 2011",3,5:00
Dan Miller,Win,13–4 (1),Joe Doerksen,Decision (split),UFC 124,"December 11, 2010",3,5:00
Dan Miller,Win,12–4 (1),John Salter,Submission (ninja choke),UFC 118,"August 28, 2010",2,1:53
Dan Miller,Loss,11–4 (1),Michael Bisping,Decision (unanimous),UFC 114,"May 29, 2010",3,5:00
Dan Miller,Loss,11–3 (1),Demian Maia,Decision (unanimous),UFC 109,"February 6, 2010",3,5:00
Dan Miller,Loss,11–2 (1),Chael Sonnen,Decision (unanimous),UFC 98,"May 23, 2009",3,5:00
Dan Miller,Win,11–1 (1),Jake Rosholt,Submission (guillotine choke),UFC Fight Night: Lauzon vs. Stephens,"February 7, 2009",1,1:03
Dan Miller,Win,10–1 (1),Matt Horwich,Decision (unanimous),UFC 90,"October 25, 2008",3,5:00
Dan Miller,Win,9–1 (1),Rob Kimmons,Submission (rear-naked choke),UFC Fight Night: Diaz vs. Neer,"September 17, 2008",1,1:27
Dan Miller,Win,8–1 (1),Ryan McGivern,Submission (kneebar),IFL: Connecticut,"May 16, 2008",1,3:36
Dan Miller,NC,7–1 (1),Mike Geurin,No Contest (headbutt),Ring of Combat 18,"March 7, 2008",1,0:34
Dan Miller,Win,7–1,John Howard,Decision (unanimous),Ring of Combat 17: Beast of the Northeast Finals,"November 30, 2007",3,5:00
Dan Miller,Win,6–1,Dave Phillips,Submission (standing guillotine choke),IFL: 2007 Semifinals,"August 2, 2007",1,1:30
Dan Miller,Win,5–1,Jose Rodriguez,Decision (unanimous),Cage Fury Fighting Championships 4,"April 13, 2007",3,5:00
Dan Miller,Win,4–1,Lance Everson,Submission (rear-naked choke),Cage Fury Fighting Championships 2,"October 6, 2006",1,2:26
Dan Miller,Win,3–1,Dave Perez,TKO (corner stoppage),Cage Fury Fighting Championships 1,"June 30, 2006",1,5:00
Dan Miller,Loss,2–1,Mike Massenzio,Decision (split),Reality Fighting 12: Return to Boardwalk Hall,"April 29, 2006",3,5:00
Dan Miller,Win,2–0,Jay Coleman,Submission (armbar),Reality Fighting 11: Battle at Taj Mahal,"February 11, 2006",1,N/A
Dan Miller,Win,1–0,Tenyeh Dixon,Submission (triangle choke),Reality Fighting 10,"November 19, 2005",1,2:20
Darrell Montague,Loss,13–5,Willie Gates,TKO (knees to the body and elbows),The Ultimate Fighter: American Top Team vs. Blackzilians Finale,"July 12, 2015",1,1:36
Darrell Montague,Loss,13–4,Kyoji Horiguchi,Decision (unanimous),UFC Fight Night: Brown vs. Silva,"May 10, 2014",3,5:00
Darrell Montague,Loss,13–3,John Dodson,KO (punch),UFC 166,"October 19, 2013",1,4:13
Darrell Montague,Win,13–2,Jesse Miramontes,Submission (triangle choke),Submission Championship MMA 2,"May 18, 2013",1,2:22
Darrell Montague,Win,12–2,Mamoru Yamaguchi,Decision (split),Vale Tudo Japan 1st,"December 24, 2012",3,5:00
Darrell Montague,Win,11–2,Taylor McCorriston,TKO (punches),Tachi Palace Fights 13,"May 10, 2012",1,2:46
Darrell Montague,Win,10–2,Kenny McClairn,Submission (armbar),Gladiator Challenge: Star Wars,"April 29, 2012",2,2:41
Darrell Montague,Loss,9–2,Ian McCall,Submission (rear-naked choke),TPF 10: Let The Chips Fall,"August 5, 2011",3,2:15
Darrell Montague,Win,9–1,Ulysses Gomez,Decision (unanimous),TPF 8: All or Nothing,"February 18, 2011",5,5:00
Darrell Montague,Win,8–1,Luis Gonzalez,KO (punches),TPF 6: High Stakes,"September 9, 2010",1,4:42
Darrell Montague,Win,7–1,Jeremy Bolt,TKO (body kick),TPF 4: Cinco de Mayhem,"May 5, 2010",3,2:21
Darrell Montague,Win,6–1,Chino Nicolas,Decision (unanimous),Gladiator Challenge: Vision Quest,"February 21, 2010",3,3:00
Darrell Montague,Win,5–1,Joey Bedolla,Submission (rear-naked choke),LBFN 6: Long Beach Fight Night 6,"October 18, 2009",1,2:41
Darrell Montague,Win,4–1,Maurice Eazel,KO (punches),LBFN 4: Long Beach Fight Night 4,"April 19, 2009",3,0:36
Darrell Montague,Loss,3–1,Robbie Peralta,TKO (punches),Gladiator Challenge: Warriors,"February 4, 2009",3,2:55
Darrell Montague,Win,3–0,Scott Brommage,Submission (rear-naked choke),LBFN 3: Long Beach Fight Night 3,"January 4, 2009",3,2:36
Darrell Montague,Win,2–0,Ernie Davila,Submission (rear-naked choke),KOW: Knights of War,"September 20, 2008",2,N/A
Darrell Montague,Win,1–0,Dillion Croushorn,KO (spinning back fist),GC 79: Genuine Beatdown,"June 20, 2008",2,3:40
Mike Swick,Loss,15–6,Alex Garcia,Decision (unanimous),UFC 189,"July 11, 2015",3,5:00
Mike Swick,Loss,15–5,Matt Brown,KO (punches),UFC on Fox: Henderson vs. Diaz,"December 8, 2012",2,2:31
Mike Swick,Win,15–4,DaMarques Johnson,KO (punch),UFC on Fox: Shogun vs. Vera,"August 4, 2012",2,1:20
Mike Swick,Loss,14–4,Paulo Thiago,Technical Submission (D'Arce choke),UFC 109,"February 6, 2010",2,1:54
Mike Swick,Loss,14–3,Dan Hardy,Decision (unanimous),UFC 105,"November 14, 2009",3,5:00
Mike Swick,Win,14–2,Ben Saunders,TKO (punches),UFC 99,"June 13, 2009",2,3:47
Mike Swick,Win,13–2,Jonathan Goulet,KO (punches),UFC: Fight for the Troops,"December 10, 2008",1,0:33
Mike Swick,Win,12–2,Marcus Davis,Decision (unanimous),UFC 85,"June 7, 2008",3,5:00
Mike Swick,Win,11–2,Josh Burkman,Decision (majority),UFC Fight Night: Swick vs. Burkman,"January 23, 2008",3,5:00
Mike Swick,Loss,10–2,Yushin Okami,Decision (unanimous),UFC 69,"April 7, 2007",3,5:00
Mike Swick,Win,10–1,David Loiseau,Decision (unanimous),UFC 63,"September 23, 2006",3,5:00
Mike Swick,Win,9–1,Joe Riggs,Submission (guillotine choke),UFC 60,"May 27, 2006",1,2:19
Mike Swick,Win,8–1,Steve Vigneault,Submission (guillotine choke),UFC 58,"March 4, 2006",1,2:09
Mike Swick,Win,7–1,Gideon Ray,KO (punches),UFC Ultimate Fight Night,"August 6, 2005",1,0:22
Mike Swick,Win,6–1,Alex Schoenauer,KO (punch),The Ultimate Fighter 1 Finale,"April 9, 2005",1,0:20
Mike Swick,Loss,5–1,Chris Leben,KO (punch),WEC 9,"January 16, 2004",2,0:45
Mike Swick,Win,5–0,Butch Bacon,KO (punches),SB 1 – Shootbox 1,"August 23, 2003",1,0:26
Mike Swick,Win,4–0,Kengo Ura,KO (knee),WEC 6,"March 27, 2003",3,0:31
Mike Swick,Win,3–0,James Gabert,Decision (unanimous),WEC 4,"August 31, 2002",3,5:00
Mike Swick,Win,2–0,James Whitifield,TKO (punches),NSFC – NW Submission Fighting 1,"May 4, 2002",1,1:15
Mike Swick,Win,1–0,Victor Bell,Submission (rear-naked choke),PRW – Power Ring Warriors,"November 7, 1998",1,2:10
Yosdenis Cedeno,Loss,10–6–1,Kurt Holobaugh,Submission (rear-naked choke),Titan FC 42,"December 2, 2016",3,1:22
Yosdenis Cedeno,Draw,10–5–1,Jason Novelli,Draw (split),Titan FC 38,"April 16, 2016",3,5:00
Yosdenis Cedeno,Loss,10–5,Cody Pfister,Decision (unanimous),UFC 189,"July 11, 2015",3,5:00
Yosdenis Cedeno,Loss,10–4,Chad Laprise,Decision (unanimous),UFC Fight Night: MacDonald vs. Saffiedine,"October 4, 2014",3,5:00
Yosdenis Cedeno,Win,10–3,Jerrod Sanders,TKO (retirement),UFC Fight Night: Cerrone vs. Miller,"July 16, 2014",1,5:00
Yosdenis Cedeno,Loss,9–3,Ernest Chavez,Decision (split),UFC 170,"February 22, 2014",3,5:00
Yosdenis Cedeno,Win,9–2,Torrance Taylor,Decision (split),CFA 12 - Sampo vs. Thao,"October 12, 2013",5,4:00
Yosdenis Cedeno,Win,8–2,Trent McCown,Decision (unanimous),CFA 11 - Kyle vs. Wiuff,"May 24, 2013",3,5:00
Yosdenis Cedeno,Win,7–2,Ryan DeRocher,TKO (head kick and punches),CFA 9 - Night of Champions,"January 19, 2013",2,0:37
Yosdenis Cedeno,Win,6–2,Anthony Christodoulou,Decision (unanimous),CFA 8 - Araujo vs. Bradley,"October 6, 2012",3,5:00
Yosdenis Cedeno,Win,5–2,Jayson Jones,TKO (retirement),CFA 3 - Howard vs. Olson,"October 19, 2011",1,5:00
Yosdenis Cedeno,Win,4–2,Chino Duran,KO (punches),MFA - New Generation 3,"September 18, 2010",1,2:27
